"state" "year" "n" "h" "i"
"X42" "North Carolina" 1975 77.3355330996 47.8580158995 17.5
"X43" "North Dakota" 1975 91.67736022 63.5352705423 14.7
"X44" "Ohio" 1975 86 49.7913764866 15.1
"X45" "Oklahoma" 1975 56.6582797503 39.2329561291 20
"X46" "Pennsylvania" 1975 76.9438810007 -37.1361716699 14.7
"X47" "South Dakota" 1975 83.3683578505 45.2982479165 22
"X48" "Tennessee" 1975 21.1308853345 41.2183898685 21.5
"X49" "Texas" 1975 53.7382602633 32.1531178774 16.5
"X50" "Wisconsin" 1975 81.526525477 28.1787568971 23.8
"X51" "Alabama" 1980 52.2950384717 56.3194249509 21.1
"X52" "Arkansas" 1980 69.5029276193 32.5357305308 19.6
"X53" "California" 1980 82.7852384477 -72.1475415455 24.3
"X54" "Colorado" 1980 88.194064177 -19.0964889124 24.6
"X55" "Georgia" 1980 69.6714900274 59.9340727527 32.3
"X56" "Illinois" 1980 93.4163701068 80.2652983742 13.6
"X57" "Indiana" 1980 91.0376208662 76.0493597027 18.6
"X58" "Iowa" 1980 86.9484764999 73.0090722241 19
"X59" "Kansas" 1980 87.7897511435 61.8089825628 20.6
"X60" "Michigan" 1980 89.1891891892 49.1295932327 21.4
"X61" "Minnesota" 1980 92.1241392502 67.1980990583 20.2
"X62" "Mississippi" 1980 68.0989583333 48.5722989053 23.6
"X63" "Missouri" 1980 46.6794773251 67.5700989632 18
"X64" "Montana" 1980 91.8337912088 -9.6307692308 20.3
"X65" "Nebraska" 1980 88.0517773171 63.1028530226 21
"X66" "New York" 1980 73.526805494 -22.3150953006 31.3
"X67" "North Carolina" 1980 80.0080775444 37.9522584018 22
"X68" "North Dakota" 1980 93.9968581688 75.8096644244 18.1
"X69" "Ohio" 1980 88 69.2717218928 14.4
"X70" "Oklahoma" 1980 58.6288416076 51.0331459393 20
"X71" "Pennsylvania" 1980 76.2591575092 -7.0223032055 16.1
"X72" "South Dakota" 1980 85.6805909006 46.1209050032 23.7
"X73" "Tennessee" 1980 39.9276236429 50.4902662998 20.5
"X74" "Texas" 1980 52.7194042653 25.1369412881 16.1
"X75" "Wisconsin" 1980 85.3535353535 24.209656354 22.9
"X76" "Alabama" 1985 38.5654008439 43.9114665994 25.3
"X77" "Arkansas" 1985 71.0659898477 28.9083664674 31.4
"X78" "California" 1985 84.6012199332 -100.4481957455 32.7
"X79" "Colorado" 1985 86.5269461078 -24.8912027767 35
"X80" "Georgia" 1985 69.442220443 48.1761746265 38.7
"X81" "Illinois" 1985 94.9372737641 76.390437787 25.8
"X82" "Indiana" 1985 93.0258612641 70.4679729599 33
"X83" "Iowa" 1985 88.942680093 71.7434121163 46.3
"X84" "Kansas" 1985 86.9865571322 51.0791658888 33.8
"X85" "Michigan" 1985 91.8944244885 38.2657935309 35.5
"X86" "Minnesota" 1985 93.5922330097 64.1308246034 42.4
"X87" "Mississippi" 1985 74.822910342 47.6105188344 39.4
"X88" "Missouri" 1985 56.211961373 60.6577949611 29.9
"X89" "Montana" 1985 91.5671300829 27.2605202498 26.6
"X90" "Nebraska" 1985 85.75 54.9818700818 39.8
"X91" "New York" 1985 78.3798001052 -40.9305875143 31.4
"X92" "North Carolina" 1985 80.7616707617 29.2024206082 27.6
"X93" "North Dakota" 1985 94.0229343387 73.4545708158 29.8
"X94" "Ohio" 1985 90.2776344308 57.2712488028 21.7
"X95" "Oklahoma" 1985 53.6539466806 31.7335976673 31.8
"X96" "Pennsylvania" 1985 81.0613207547 -33.0301713088 20.1
"X97" "South Dakota" 1985 85.9652214781 42.5043725729 39.4
"X98" "Tennessee" 1985 42.2159887798 43.2550503949 20.9
"X99" "Texas" 1985 47.9179455699 16.3709855269 16.3
"X100" "Wisconsin" 1985 85.9168585626 23.5967574843 38.8
"X101" "Alabama" 1990 28.6710037175 33.2870309751 14.9
"X102" "Arkansas" 1990 72.6804123711 34.7915706565 22.5
"X103" "California" 1990 84.695023076 -128.1049237213 22.1
"X104" "Colorado" 1990 85.9008145664 -42.14151742 18.5
"X105" "Georgia" 1990 69.7039305768 35.0498648082 20.4
"X106" "Illinois" 1990 96.0759603685 72.9405215315 15.9
"X107" "Indiana" 1990 93.9923306349 69.6655198205 20.3
"X108" "Iowa" 1990 90.6295378833 72.980126966 22
"X109" "Kansas" 1990 84.8689168286 49.4790737768 23
"X110" "Michigan" 1990 92.6853423882 9.8824170919 20.4
"X111" "Minnesota" 1990 94.6795398521 56.3516358348 21.2
"X112" "Mississippi" 1990 72.3195661243 45.4639799633 26.1
"X113" "Missouri" 1990 56.8840290526 61.6185900882 17.9
"X114" "Montana" 1990 88.8745427157 25.3156762549 17
"X115" "Nebraska" 1990 86.6893143916 55.1420341219 22.4
"X116" "New York" 1990 78.9754219722 -76.5608608846 20.8
"X117" "North Carolina" 1990 80.6488991889 1.9269127308 19.1
"X118" "North Dakota" 1990 92.9839633448 74.3558606285 20.4
"X119" "Ohio" 1990 91.1281489595 51.2680119932 13.8
"X120" "Oklahoma" 1990 55.3621448579 34.0462898463 22
"X121" "Pennsylvania" 1990 81.5684315684 -63.9814186492 13
"X122" "South Dakota" 1990 83.9241816535 60.531371405 20.7
"X123" "Tennessee" 1990 37.1400919429 39.7502338773 14.1
"X124" "Texas" 1990 48.7670343933 6.7267822248 13.4
"X125" "Wisconsin" 1990 86.6715758468 -1.4533286972 24.7
"X126" "Alabama" 1995 28.6771105309 41.4624306091 12.2
"X127" "Arkansas" 1995 73.3595284872 59.0302386015 23.5
"X128" "California" 1995 85.6385431074 -80.6218372393 22.5
"X129" "Colorado" 1995 91.7294077986 -42.3641759662 17.7
"X130" "Georgia" 1995 73.1730769231 47.391697474 20.6
"X131" "Illinois" 1995 96.3094209162 79.2272403597 14.6
"X132" "Indiana" 1995 94.7427293065 75.7876896357 17
"X133" "Iowa" 1995 91.4505956552 79.8906979912 21.3
"X134" "Kansas" 1995 85.9432387312 60.6172545893 22.1
"X135" "Michigan" 1995 92.9557621865 14.8852035322 17.3
"X136" "Minnesota" 1995 94.8183175709 62.6775736247 23.7
"X137" "Mississippi" 1995 74.272055628 61.6384387312 23.8
"X138" "Missouri" 1995 58.2201296697 67.9164815059 17.5
"X139" "Montana" 1995 88.4903971914 30.0560776171 13.8
"X140" "Nebraska" 1995 90.4400905779 65.3735869988 25.7
"X141" "New York" 1995 79.9810246679 -62.9783975683 20.6
"X142" "North Carolina" 1995 79.3403164698 10.5204095265 18.6
"X143" "North Dakota" 1995 93.8675388389 81.1966818629 20.4
"X144" "Ohio" 1995 91.5374432678 60.8617674614 12.3
"X145" "Oklahoma" 1995 45.2670274686 44.3333661464 20.5
"X146" "Pennsylvania" 1995 83.4010031048 -61.1952411376 13.6
"X147" "South Dakota" 1995 85.3173915555 73.7198360905 23.6
"X148" "Tennessee" 1995 39.9349895519 51.5816855767 10.9
"X149" "Texas" 1995 45.451731305 30.9785337654 13.7
"X150" "Wisconsin" 1995 87.7098551839 2.2052206216 24.2
"X151" "Alabama" 2000 43.68144969 28.1156128859 14.2
"X152" "Arkansas" 2000 77.1862615588 52.2346335368 23.9
"X153" "California" 2000 84.344081015 -151.4377744136 25.4
"X154" "Colorado" 2000 77.2162900422 -71.4536122458 17.2
"X155" "Georgia" 2000 75.4925137904 31.8251760506 17.2
"X156" "Illinois" 2000 97.6634699215 78.3108873154 14.1
"X157" "Indiana" 2000 96.2629929055 71.9888809912 16.4
"X158" "Iowa" 2000 94.370669746 77.8281549253 21.8
"X159" "Kansas" 2000 90.280395853 55.4793321501 23.9
"X160" "Michigan" 2000 94.0762041697 -12.3842951252 14.3
"X161" "Minnesota" 2000 96.3412238483 47.7013911559 23.6
"X162" "Mississippi" 2000 78.5222579165 51.0105455592 23.5
"X163" "Missouri" 2000 68.4590509137 65.3276044022 15.4
"X164" "Montana" 2000 86.8465172992 34.5074826568 12.3
"X165" "Nebraska" 2000 90.3431521409 58.1032229166 26.8
"X166" "New York" 2000 86.4204092479 -116.5857672597 21.9
"X167" "North Carolina" 2000 84.2415664072 9.227860733 15.9
"X168" "North Dakota" 2000 94.2540538228 77.9372591128 21.5
"X169" "Ohio" 2000 93.1355439209 54.5382461139 12.4
"X170" "Oklahoma" 2000 42.5055187638 20.7794995064 19.9
"X171" "Pennsylvania" 2000 85.805535841 -89.0683898761 13.7
"X172" "South Dakota" 2000 85.7142857143 72.7722894903 20.5
"X173" "Tennessee" 2000 51.8912797282 55.2522764025 10.7
"X174" "Texas" 2000 38.7151817008 16.3556263154 13.8
"X175" "Wisconsin" 2000 91.5331048967 -18.6039650577 19.9
